year,hare,lynx
1845,28000,
1846,25000,
1847,25000,
1848,25000,
1849,12000,
1850,26000,
1851,53000,
1852,80000,2174
1853,80000,2106
1854,90000,3021
1855,69000,4754
1856,81000,7324
1857,95000,8197
1858,71000,6913
1859,28000,4772
1860,18000,2383
1861,19000,1540
1862,40000,1508
1863,5000,
1864,152000,
1865,145000,
1866,105000,
1867,45000,
1868,22000,
1869,2000,
1870,3000,
1871,8000,
1872,7000,
1873,62000,
1874,50000,
1875,51000,
1876,105000,
1877,88000,
1878,64000,
1879,19000,
1880,10000,
1881,16000,
1882,15000,
1883,15000,
1884,45000,
1885,54000,
1886,138000,
1887,139000,
1888,95000,
1889,38000,
1890,25000,
1891,52000,
1892,56000,
1893,66000,
1894,62000,
1895,80000,
1896,95000,
1897,58000,5893
1898,20000,4270
1899,5000,2069
1900,2000,1824
1901,18000,1532
1902,1000,2272
1903,6000,2335
1904,45000,3344
1905,50000,4754
1906,20000,4467
1907,20000,2623
1908,22000,1171
1909,27000,797
1910,50000,1184
1911,55000,1438
1912,78000,1552
1913,70000,2949
1914,59000,
1915,28000,4242
1916,20000,4664
1917,15000,1889
1918,15000,722
1919,25000,317
1920,35000,287
1921,65000,380
1922,78000,762
1923,82000,1467
1924,65000,1904
1925,26000,3029
1926,15000,3178
1927,10000,1806
1928,1000,664
1929,2000,349
1930,3000,288
1931,22000,575
1932,75000,931
1933,95000,1265
1934,78000,1692
1935,20000,1861
1936,,1252
1937,,591
1938,,445
1939,,343
